Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Failed,Chrome 86.0.4240.183,Gagal Login Learn Aja \r\n- Data Kosong \r\n- Username Salah \r\n- Password Salah,,2020-11-11 18:06:56,2020-11-11 18:07:24,27.995s,PASSED
,,,,,,,
Test Cases/Login/Negative Case/Login Data Kosong,Chrome 86.0.4240.183,"Login Dengan Data Kosong
username : """"
password : """"",,2020-11-11 18:06:56,2020-11-11 18:07:07,10.179s,PASSED
"openBrowser("""")",Chrome 86.0.4240.183,,,2020-11-11 18:06:57,2020-11-11 18:07:01,4.362s,PASSED
"navigateToUrl(""http://learn-aja-frontend-dev.vsan-apps.playcourt.id/#/login"")",Chrome 86.0.4240.183,,,2020-11-11 18:07:01,2020-11-11 18:07:02,0.696s,PASSED
"setText(findTestObject(""Login/input_Login_username""), """")",Chrome 86.0.4240.183,,,2020-11-11 18:07:02,2020-11-11 18:07:02,0.722s,PASSED
"setText(findTestObject(""Login/input_Login_password""), """")",Chrome 86.0.4240.183,,,2020-11-11 18:07:02,2020-11-11 18:07:03,0.663s,PASSED
"click(findTestObject(""Login/button_Login""))",Chrome 86.0.4240.183,,,2020-11-11 18:07:03,2020-11-11 18:07:04,0.366s,PASSED
delay(2),Chrome 86.0.4240.183,,,2020-11-11 18:07:04,2020-11-11 18:07:06,2.025s,PASSED
"click(findTestObject(""Login/a_Dismiss""))",Chrome 86.0.4240.183,,,2020-11-11 18:07:06,2020-11-11 18:07:06,0.401s,PASSED
closeBrowser(),Chrome 86.0.4240.183,,,2020-11-11 18:07:06,2020-11-11 18:07:07,0.618s,PASSED
,,,,,,,
Test Cases/Login/Negative Case/Login Username Tidak Ada Di Database,Chrome 86.0.4240.183,"Login Username Salah
username : ""12345""
password : ""Password""",,2020-11-11 18:07:07,2020-11-11 18:07:15,8.802s,PASSED
"openBrowser("""")",Chrome 86.0.4240.183,,,2020-11-11 18:07:07,2020-11-11 18:07:10,3.216s,PASSED
"navigateToUrl(""http://learn-aja-frontend-dev.vsan-apps.playcourt.id/#/login"")",Chrome 86.0.4240.183,,,2020-11-11 18:07:10,2020-11-11 18:07:11,0.606s,PASSED
"setText(findTestObject(""Login/input_Login_username""), ""9000"")",Chrome 86.0.4240.183,,,2020-11-11 18:07:11,2020-11-11 18:07:11,0.782s,PASSED
"setText(findTestObject(""Login/input_Login_password""), ""Password"")",Chrome 86.0.4240.183,,,2020-11-11 18:07:11,2020-11-11 18:07:12,0.683s,PASSED
"click(findTestObject(""Login/button_Login""))",Chrome 86.0.4240.183,,,2020-11-11 18:07:12,2020-11-11 18:07:12,0.352s,PASSED
delay(2),Chrome 86.0.4240.183,,,2020-11-11 18:07:12,2020-11-11 18:07:14,2.004s,PASSED
"click(findTestObject(""Login/a_Dismiss""))",Chrome 86.0.4240.183,,,2020-11-11 18:07:14,2020-11-11 18:07:15,0.381s,PASSED
closeBrowser(),Chrome 86.0.4240.183,,,2020-11-11 18:07:15,2020-11-11 18:07:15,0.610s,PASSED
,,,,,,,
Test Cases/Login/Negative Case/Login Password Tidak Sama Dengan Di Database,Chrome 86.0.4240.183,"Password Salah
usename : ""2001""
password : ""pass""",,2020-11-11 18:07:15,2020-11-11 18:07:24,8.744s,PASSED
"openBrowser("""")",Chrome 86.0.4240.183,,,2020-11-11 18:07:16,2020-11-11 18:07:19,3.203s,PASSED
"navigateToUrl(""http://learn-aja-frontend-dev.vsan-apps.playcourt.id/#/login"")",Chrome 86.0.4240.183,,,2020-11-11 18:07:19,2020-11-11 18:07:19,0.511s,PASSED
"setText(findTestObject(""Login/input_Login_username""), ""3001"")",Chrome 86.0.4240.183,,,2020-11-11 18:07:19,2020-11-11 18:07:20,0.837s,PASSED
"setText(findTestObject(""Login/input_Login_password""), ""pass"")",Chrome 86.0.4240.183,,,2020-11-11 18:07:20,2020-11-11 18:07:21,0.705s,PASSED
"click(findTestObject(""Login/button_Login""))",Chrome 86.0.4240.183,,,2020-11-11 18:07:21,2020-11-11 18:07:21,0.360s,PASSED
delay(2),Chrome 86.0.4240.183,,,2020-11-11 18:07:21,2020-11-11 18:07:23,2.005s,PASSED
"click(findTestObject(""Login/a_Dismiss""))",Chrome 86.0.4240.183,,,2020-11-11 18:07:23,2020-11-11 18:07:24,0.353s,PASSED
closeBrowser(),Chrome 86.0.4240.183,,,2020-11-11 18:07:24,2020-11-11 18:07:24,0.612s,PASSED
